truedoca,recodoca,ambig,theta,FitA0,FitA1,FitB0,FitB1,TrueA0,TrueA1,TrueB0,TrueB1
0.22526,1.39339,1,1.10312,-326.236,0.824814,-208.815,-1.23329,-332.471,0.812533,-201.615,-1.25955
1.74909,0.371886,1,1.10312,-326.236,0.824814,-208.815,-1.23329,-332.471,0.812533,-201.615,-1.25955
2.13814,0.204458,-1,1.56175,450.439,0.00590291,316.45,-1.65227,448.254,0.0325714,322.298,-1.68617
2.26195,2.32804,1,1.56175,450.439,0.00590291,316.45,-1.65227,448.254,0.0325714,322.298,-1.68617
0.675183,0.0354384,1,1.63785,-522.514,-0.117596,-78.4454,-1.69531,-521.546,-0.131872,-74.5202,-1.68924
0.288887,0.321845,1,1.63785,-522.514,-0.117596,-78.4454,-1.69531,-521.546,-0.131872,-74.5202,-1.68924
1.20939,1.98656,1,1.63785,-522.514,-0.117596,-78.4454,-1.69531,-521.546,-0.131872,-74.5202,-1.68924
0.454477,0.000696075,1,1.63785,-522.514,-0.117596,-78.4454,-1.69531,-521.546,-0.131872,-74.5202,-1.68924
1.84095,2.22637,1,1.63785,-522.514,-0.117596,-78.4454,-1.69531,-521.546,-0.131872,-74.5202,-1.68924
1.79931,0.841978,1,1.63785,-522.514,-0.117596,-78.4454,-1.69531,-521.546,-0.131872,-74.5202,-1.68924
2.2105,0.0540302,1,1.63785,-522.514,-0.117596,-78.4454,-1.69531,-521.546,-0.131872,-74.5202,-1.68924
2.11543,1.33322,1,1.63785,-522.514,-0.117596,-78.4454,-1.69531,-521.546,-0.131872,-74.5202,-1.68924
1.45584,0.505933,1,1.63785,-522.514,-0.117596,-78.4454,-1.69531,-521.546,-0.131872,-74.5202,-1.68924
1.51599,0.624366,1,1.63785,-522.514,-0.117596,-78.4454,-1.69531,-521.546,-0.131872,-74.5202,-1.68924
0.362069,1.41453,1,1.63785,-522.514,-0.117596,-78.4454,-1.69531,-521.546,-0.131872,-74.5202,-1.68924
1.83717,0.0840273,1,1.63785,-522.514,-0.117596,-78.4454,-1.69531,-521.546,-0.131872,-74.5202,-1.68924
1.17739,1.95687,1,0.962423,218.433,1.7978,262.631,2.61364,244.231,1.94941,262.862,2.61443
0.934566,2.13394,1,0.962423,218.433,1.7978,262.631,2.61364,244.231,1.94941,262.862,2.61443
1.33362,1.21816,1,0.962423,218.433,1.7978,262.631,2.61364,244.231,1.94941,262.862,2.61443
0.788314,1.60252,1,0.962423,218.433,1.7978,262.631,2.61364,244.231,1.94941,262.862,2.61443
1.27204,0.884183,1,0.962423,218.433,1.7978,262.631,2.61364,244.231,1.94941,262.862,2.61443
0.578832,1.65788,1,0.962423,218.433,1.7978,262.631,2.61364,244.231,1.94941,262.862,2.61443
0.58438,0.388233,1,1.20408,-930.261,0.979893,-1087.1,2.13717,-911.096,0.940414,-1156.84,2.23482
1.59267,0.83127,1,1.20408,-930.261,0.979893,-1087.1,2.13717,-911.096,0.940414,-1156.84,2.23482
0.486359,2.28154,1,1.20408,-930.261,0.979893,-1087.1,2.13717,-911.096,0.940414,-1156.84,2.23482
0.951068,0.897447,1,0.608385,-3380.2,2.59664,2593.06,-1.50599,-3472.4,2.66405,2639.17,-1.53965
1.43016,1.76876,1,0.608385,-3380.2,2.59664,2593.06,-1.50599,-3472.4,2.66405,2639.17,-1.53965
0.497823,0.893842,1,0.608385,-3380.2,2.59664,2593.06,-1.50599,-3472.4,2.66405,2639.17,-1.53965
2.07604,1.26584,1,0.608385,-3380.2,2.59664,2593.06,-1.50599,-3472.4,2.66405,2639.17,-1.53965
0.356651,1.03218,1,0.608385,-3380.2,2.59664,2593.06,-1.50599,-3472.4,2.66405,2639.17,-1.53965
1.27913,0.201442,1,0.608385,-3380.2,2.59664,2593.06,-1.50599,-3472.4,2.66405,2639.17,-1.53965
0.147622,0.98638,1,0.608385,-3380.2,2.59664,2593.06,-1.50599,-3472.4,2.66405,2639.17,-1.53965
0.784713,1.86158,1,0.608385,-3380.2,2.59664,2593.06,-1.50599,-3472.4,2.66405,2639.17,-1.53965
2.02762,1.42737,1,0.608385,-3380.2,2.59664,2593.06,-1.50599,-3472.4,2.66405,2639.17,-1.53965
1.9464,1.08453,1,0.608385,-3380.2,2.59664,2593.06,-1.50599,-3472.4,2.66405,2639.17,-1.53965
1.96382,2.3658,1,1.14258,889.12,0.652007,631.299,0.997365,916.914,0.683089,678.81,1.01716
0.553627,0.423788,1,1.38264,1062.38,0.818488,-3483.62,-5.10341,1173.76,0.953466,-3341.93,-4.90865
1.55072,1.53502,-1,1.38264,1062.38,0.818488,-3483.62,-5.10341,1173.76,0.953466,-3341.93,-4.90865
0.389565,0.666598,1,1.38264,1062.38,0.818488,-3483.62,-5.10341,1173.76,0.953466,-3341.93,-4.90865
1.71468,1.29219,1,1.38264,1062.38,0.818488,-3483.62,-5.10341,1173.76,0.953466,-3341.93,-4.90865
0.652934,0.331778,1,1.38264,1062.38,0.818488,-3483.62,-5.10341,1173.76,0.953466,-3341.93,-4.90865
2.01025,1.62777,1,1.38264,1062.38,0.818488,-3483.62,-5.10341,1173.76,0.953466,-3341.93,-4.90865
1.18558,1.09075,1,1.38264,1062.38,0.818488,-3483.62,-5.10341,1173.76,0.953466,-3341.93,-4.90865
2.06177,2.26026,1,1.38264,1062.38,0.818488,-3483.62,-5.10341,1173.76,0.953466,-3341.93,-4.90865
1.52912,1.50127,1,1.38264,1062.38,0.818488,-3483.62,-5.10341,1173.76,0.953466,-3341.93,-4.90865
0.65128,1.81132,1,1.38264,1062.38,0.818488,-3483.62,-5.10341,1173.76,0.953466,-3341.93,-4.90865
0.946132,0.175985,1,1.38264,1062.38,0.818488,-3483.62,-5.10341,1173.76,0.953466,-3341.93,-4.90865
2.28027,1.0922,1,1.38264,1062.38,0.818488,-3483.62,-5.10341,1173.76,0.953466,-3341.93,-4.90865
0.814485,0.359516,1,1.38264,1062.38,0.818488,-3483.62,-5.10341,1173.76,0.953466,-3341.93,-4.90865
2.06782,1.72379,1,2.08444,51.6094,-0.679717,-714.657,0.639007,49.9839,-0.679608,-725.875,0.671661
1.96631,2.27455,-1,2.08444,51.6094,-0.679717,-714.657,0.639007,49.9839,-0.679608,-725.875,0.671661
0.435323,1.69448,1,2.08444,51.6094,-0.679717,-714.657,0.639007,49.9839,-0.679608,-725.875,0.671661
1.44337,0.164777,1,2.08444,51.6094,-0.679717,-714.657,0.639007,49.9839,-0.679608,-725.875,0.671661
2.32809,1.49155,1,2.08444,51.6094,-0.679717,-714.657,0.639007,49.9839,-0.679608,-725.875,0.671661
2.40581,0.653248,1,2.08444,51.6094,-0.679717,-714.657,0.639007,49.9839,-0.679608,-725.875,0.671661
1.89467,1.32688,1,2.08444,51.6094,-0.679717,-714.657,0.639007,49.9839,-0.679608,-725.875,0.671661
0.896256,2.48663,1,2.04897,-551.989,-1.42531,1148.32,2.61624,-561.627,-1.42555,1113.25,2.56645
2.15872,1.23671,1,2.04897,-551.989,-1.42531,1148.32,2.61624,-561.627,-1.42555,1113.25,2.56645
1.42246,1.99933,1,2.04897,-551.989,-1.42531,1148.32,2.61624,-561.627,-1.42555,1113.25,2.56645
2.30243,1.03584,1,2.04897,-551.989,-1.42531,1148.32,2.61624,-561.627,-1.42555,1113.25,2.56645
0.33101,0.976736,1,2.04897,-551.989,-1.42531,1148.32,2.61624,-561.627,-1.42555,1113.25,2.56645
2.41809,1.08757,1,2.04897,-551.989,-1.42531,1148.32,2.61624,-561.627,-1.42555,1113.25,2.56645
0.720097,0.547713,1,2.04897,-551.989,-1.42531,1148.32,2.61624,-561.627,-1.42555,1113.25,2.56645
